episode,timestep,reward
3,4000,1298.9345
5,8000,2151.9064
7,12000,2246.4592
9,16000,1645.661
11,20000,2583.0703
13,24000,2477.4803
16,28000,1757.4556
18,32000,2373.2221
20,36000,2139.2302
22,40000,2269.6914
24,44000,2391.5834
26,48000,2088.3155
28,52000,2219.1971
30,56000,2450.5487
32,60000,2889.1669
34,64000,2445.0167
36,68000,2279.6662
38,72000,2108.2429
41,76000,1868.6381
43,80000,1631.209
45,84000,2575.124
47,88000,2677.0013
49,92000,2686.0228
51,96000,2683.1467
53,100000,2585.3659
55,104000,2478.0068
58,108000,1797.6111
60,112000,2584.4376
62,116000,2671.3688
64,120000,2606.896
66,124000,2626.4401
68,128000,2923.2173
70,132000,2900.5998
72,136000,2562.3781
74,140000,2849.391
76,144000,2935.8826
78,148000,2711.2944
80,152000,2681.6242
82,156000,2662.7232
84,160000,2844.2029
86,164000,2834.5164
88,168000,2742.5326
90,172000,3037.8595
92,176000,3012.6838
94,180000,2715.2413
96,184000,2865.2958
98,188000,2721.6474
100,192000,2854.4864
102,196000,2935.6516
104,200000,2471.4411
106,204000,2842.2184
108,208000,3130.5951
110,212000,2724.5049
112,216000,2981.5312
114,220000,2895.6491
116,224000,2932.051
118,228000,2844.518
120,232000,2945.0477
122,236000,2940.0281
124,240000,2930.998
126,244000,3026.9671
128,248000,3145.4536
130,252000,2968.9176
132,256000,3010.9686
134,260000,2738.5706
136,264000,3079.6352
138,268000,3101.9019
140,272000,3156.3416
142,276000,2927.5697
144,280000,2898.469
146,284000,3089.286
148,288000,3036.7968
150,292000,2990.964
152,296000,2998.549
154,300000,2968.58
156,304000,3064.4894
158,308000,3084.8196
160,312000,2957.9524
162,316000,3083.7273
164,320000,3025.4661
166,324000,3036.1057
168,328000,3078.619
170,332000,2980.2282
172,336000,3027.8686
174,340000,3110.5572
176,344000,3191.99
178,348000,3138.2051
180,352000,3127.0212
182,356000,3089.0634
184,360000,3188.3142
186,364000,3196.2249
188,368000,3172.0742
190,372000,3310.8426
192,376000,3133.4459
194,380000,3114.0954
196,384000,3128.2928
198,388000,3175.3445
200,392000,3073.6111
202,396000,3379.6396
204,400000,2918.1754
206,404000,3223.9254
208,408000,3259.7445
210,412000,3308.5503
212,416000,3138.8249
214,420000,3350.7088
216,424000,3059.0131
218,428000,3329.1495
220,432000,3336.8392
222,436000,3245.6813
224,440000,3226.6303
226,444000,3264.6419
228,448000,3507.2306
230,452000,3326.8357
232,456000,3535.0242
234,460000,3281.3797
236,464000,3301.6029
238,468000,3380.4385
240,472000,3470.1396
242,476000,3429.5393
244,480000,3324.1782
246,484000,3389.6205
248,488000,3453.204
250,492000,3272.0059
252,496000,3313.0283
254,500000,3363.099
256,504000,3334.9934
258,508000,3357.0673
260,512000,3288.8207
262,516000,3413.7548
264,520000,3359.059
266,524000,3378.8876
268,528000,3366.6738
270,532000,3490.6166
272,536000,3326.7048
274,540000,3459.8505
276,544000,3433.1253
278,548000,3281.9626
280,552000,3499.15
282,556000,3359.1384
284,560000,3258.8739
286,564000,3492.4797
288,568000,3525.8976
290,572000,3392.3151
292,576000,3436.6147
294,580000,3544.327
296,584000,3403.5462
298,588000,3488.7508
300,592000,3607.4712
302,596000,3551.4173
304,600000,3528.8909
306,604000,3486.6468
308,608000,3529.0402
310,612000,3597.9776
312,616000,3533.6732
314,620000,3523.3035
316,624000,3535.0728
318,628000,3485.2803
320,632000,3534.7482
322,636000,3499.6679
324,640000,3428.6175
326,644000,3471.2196
328,648000,3700.2541
330,652000,3517.4186
332,656000,3595.6872
334,660000,3561.5349
336,664000,3524.8213
338,668000,3551.305
340,672000,3398.7914
342,676000,3504.784
344,680000,3518.6616
346,684000,3615.9947
348,688000,3661.2176
350,692000,3642.8747
352,696000,3563.4163
354,700000,3507.2836
356,704000,3634.7577
358,708000,3595.3728
360,712000,3548.4424
362,716000,3641.9666
364,720000,3599.5881
366,724000,3523.7365
368,728000,3671.7824
370,732000,3561.7838
372,736000,3691.7693
374,740000,3736.4166
376,744000,3634.0472
378,748000,3629.5173
380,752000,3666.4304
382,756000,3647.3183
384,760000,3631.8929
386,764000,3670.5371
388,768000,3682.2879
390,772000,3715.198
392,776000,3757.3136
394,780000,3665.9719
396,784000,3718.7617
398,788000,3749.3658
400,792000,3687.5646
402,796000,3819.2682
404,800000,3667.8429
406,804000,3743.5541
408,808000,3709.0467
410,812000,3796.3414
412,816000,3689.3168
414,820000,3773.3963
416,824000,3677.7005
418,828000,3690.6561
420,832000,3781.3892
422,836000,3677.8641
424,840000,3712.3251
426,844000,3853.1013
428,848000,3699.5842
430,852000,3749.2935
432,856000,3744.9308
434,860000,3861.9229
436,864000,3885.7311
438,868000,3773.6632
440,872000,3819.8591
442,876000,3864.7601
444,880000,3748.0064
446,884000,3812.7688
448,888000,3795.9061
450,892000,3863.3244
452,896000,3857.6505
454,900000,2812.9707
456,904000,3766.6273
458,908000,3676.5746
460,912000,3656.791
462,916000,3833.1327
464,920000,3747.8183
466,924000,3829.788
468,928000,3886.5845
470,932000,3937.0242
472,936000,-12932.224
474,940000,3793.6763
476,944000,3845.8279
478,948000,3839.7888
480,952000,3801.426
482,956000,3905.915
484,960000,3776.6744
486,964000,3635.59
488,968000,3906.2352
490,972000,3804.4107
492,976000,-15536.348
494,980000,3892.4855
496,984000,3763.8483
498,988000,3833.0897
500,992000,3791.8386
502,996000,3801.1237
504,1000000,3878.4933
506,1004000,3850.0893
508,1008000,3798.5581
510,1012000,3859.9852
512,1016000,3877.0494
514,1020000,3923.83
516,1024000,3910.9499
518,1028000,3905.2657
520,1032000,3856.2102
522,1036000,3875.1356
524,1040000,3911.8005
527,1044000,-6255.4009
529,1048000,3880.8429
531,1052000,3819.0967
533,1056000,-5316.3868
535,1060000,3842.7358
